match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,runs_off_bat,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder
1,1,Mumbai Indians,Royal Challengers Bangalore,0,1,KL Rahul,Sunil Narine,Faf du Plessis,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,0,2,KL Rahul,Sunil Narine,Faf du Plessis,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,0,3,KL Rahul,Sunil Narine,Faf du Plessis,2,0,2,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,0,4,KL Rahul,Sunil Narine,Faf du Plessis,6,1,7,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,0,5,KL Rahul,Sunil Narine,Faf du Plessis,2,0,2,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,0,6,KL Rahul,Sunil Narine,Faf du Plessis,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,1,Faf du Plessis,Jasprit Bumrah,MS Dhoni,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,2,Faf du Plessis,Jasprit Bumrah,MS Dhoni,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,3,Faf du Plessis,Jasprit Bumrah,MS Dhoni,6,0,6,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,4,Faf du Plessis,Jasprit Bumrah,MS Dhoni,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,5,Faf du Plessis,Jasprit Bumrah,MS Dhoni,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,1,6,Faf du Plessis,Jasprit Bumrah,MS Dhoni,6,0,6,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,1,MS Dhoni,Mohammed Shami,KL Rahul,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,2,MS Dhoni,Mohammed Shami,KL Rahul,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,3,MS Dhoni,Mohammed Shami,KL Rahul,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,4,MS Dhoni,Mohammed Shami,KL Rahul,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,5,MS Dhoni,Mohammed Shami,KL Rahul,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,2,6,MS Dhoni,Mohammed Shami,KL Rahul,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,3,1,KL Rahul,Sunil Narine,Faf du Plessis,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,3,2,KL Rahul,Sunil Narine,Faf du Plessis,6,0,6,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,3,3,KL Rahul,Sunil Narine,Faf du Plessis,0,0,0,KL Rahul,run out,Faf du Plessis
1,1,Mumbai Indians,Royal Challengers Bangalore,3,4,KL Rahul,Sunil Narine,Faf du Plessis,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,3,5,KL Rahul,Sunil Narine,Faf du Plessis,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,3,6,KL Rahul,Sunil Narine,Faf du Plessis,2,0,2,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,1,Faf du Plessis,Jasprit Bumrah,MS Dhoni,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,2,Faf du Plessis,Jasprit Bumrah,MS Dhoni,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,3,Faf du Plessis,Jasprit Bumrah,MS Dhoni,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,4,Faf du Plessis,Jasprit Bumrah,MS Dhoni,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,5,Faf du Plessis,Jasprit Bumrah,MS Dhoni,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,4,6,Faf du Plessis,Jasprit Bumrah,MS Dhoni,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,5,1,MS Dhoni,Mohammed Shami,KL Rahul,4,0,4,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,5,2,MS Dhoni,Mohammed Shami,KL Rahul,2,0,2,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,5,3,MS Dhoni,Mohammed Shami,KL Rahul,1,0,1,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,5,4,MS Dhoni,Mohammed Shami,KL Rahul,0,0,0,,,
1,1,Mumbai Indians,Royal Challengers Bangalore,5,5,MS Dhoni,Mohammed Shami,KL Rahul,2,1,3,,,
